epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1278.7,1.73032,1.10439,1.09872,0.81214,0.68977,0.76364,0.36794,1.67542,1.03712,1.09675,0.00095941,0.00095941,0.00095941
43,1309.05,1.74124,1.09838,1.09993,0.80625,0.66317,0.74,0.36474,1.67177,1.04867,1.10256,0.00095842,0.00095842,0.00095842
44,1339.47,1.74718,1.1132,1.10099,0.52414,0.59759,0.48051,0.2037,1.84152,1.30419,1.1263,0.00095743,0.00095743,0.00095743
45,1369.76,1.74772,1.11334,1.09633,0.80822,0.67878,0.76321,0.35827,1.71218,1.06282,1.09726,0.00095644,0.00095644,0.00095644
46,1399.94,1.72658,1.10088,1.10168,0.8073,0.6869,0.77002,0.3674,1.69908,1.04675,1.1052,0.00095545,0.00095545,0.00095545
47,1430.37,1.7251,1.11133,1.10018,0.7721,0.69465,0.75036,0.36997,1.65672,1.06834,1.0939,0.00095446,0.00095446,0.00095446
48,1460.74,1.70318,1.06122,1.09249,0.82215,0.69544,0.77729,0.38637,1.63804,0.99483,1.08812,0.00095347,0.00095347,0.00095347
49,1491.01,1.72236,1.08223,1.09394,0.81074,0.69632,0.7755,0.36049,1.74271,1.01984,1.11112,0.00095248,0.00095248,0.00095248
50,1521.18,1.7272,1.08203,1.09265,0.81222,0.71104,0.77788,0.36924,1.72148,1.00841,1.10297,0.00095149,0.00095149,0.00095149
51,1551.35,1.70807,1.07014,1.10015,0.80652,0.71033,0.77898,0.38298,1.67245,1.00228,1.10123,0.0009505,0.0009505,0.0009505
52,1581.52,1.70202,1.06561,1.09977,0.81741,0.70375,0.77471,0.387,1.64361,0.98868,1.09319,0.00094951,0.00094951,0.00094951
53,1611.86,1.71033,1.05905,1.09658,0.81979,0.68812,0.77596,0.36274,1.72585,1.04905,1.10103,0.00094852,0.00094852,0.00094852
54,1642.05,1.70295,1.06428,1.08953,0.8101,0.70571,0.77653,0.34324,1.83571,1.02918,1.13325,0.00094753,0.00094753,0.00094753
55,1672.24,1.69919,1.05992,1.08876,0.82089,0.70039,0.78251,0.37639,1.70948,1.01682,1.09898,0.00094654,0.00094654,0.00094654
56,1702.48,1.68412,1.04942,1.0853,0.83263,0.69861,0.78177,0.39449,1.62938,0.98899,1.08404,0.00094555,0.00094555,0.00094555
57,1732.88,1.68208,1.0396,1.07905,0.83289,0.69122,0.7763,0.39582,1.62325,0.99255,1.08308,0.00094456,0.00094456,0.00094456
58,1763.27,1.68858,1.0345,1.08575,0.80833,0.70172,0.77712,0.3866,1.6416,0.99628,1.08359,0.00094357,0.00094357,0.00094357
59,1793.43,1.70892,1.0517,1.09265,0.82409,0.72992,0.80069,0.40089,1.63315,0.95276,1.0851,0.00094258,0.00094258,0.00094258
60,1823.78,1.67321,1.03655,1.08397,0.83693,0.71304,0.79702,0.39022,1.68608,0.96032,1.09428,0.00094159,0.00094159,0.00094159
61,1853.93,1.67553,1.03328,1.07755,0.83285,0.68744,0.77312,0.39322,1.61428,0.99149,1.08068,0.0009406,0.0009406,0.0009406
62,1884.18,1.6853,1.0201,1.09112,0.84798,0.72861,0.80569,0.39609,1.65991,0.95525,1.08749,0.00093961,0.00093961,0.00093961
63,1914.46,1.66325,1.01842,1.06879,0.83541,0.72766,0.80842,0.3832,1.71662,0.96798,1.09942,0.00093862,0.00093862,0.00093862
64,1944.8,1.66741,1.03288,1.08312,0.83614,0.72964,0.80069,0.40779,1.61957,0.94709,1.08379,0.00093763,0.00093763,0.00093763
65,1975.19,1.67401,1.03424,1.08859,0.83183,0.73233,0.80323,0.41465,1.57927,0.9405,1.06666,0.00093664,0.00093664,0.00093664
66,2005.56,1.66436,1.01612,1.07565,0.84337,0.71473,0.79723,0.41828,1.58567,0.93078,1.08197,0.00093565,0.00093565,0.00093565
67,2035.96,1.6683,1.01254,1.08456,0.82568,0.7355,0.79794,0.3782,1.68703,0.96269,1.08595,0.00093466,0.00093466,0.00093466
68,2066.1,1.64634,0.98192,1.06054,0.85382,0.75654,0.82977,0.42357,1.58467,0.88334,1.06693,0.00093367,0.00093367,0.00093367
69,2096.44,1.64236,0.98073,1.06609,0.85066,0.74442,0.8251,0.40613,1.66478,0.92055,1.0804,0.00093268,0.00093268,0.00093268
70,2126.66,1.66708,1.01097,1.0808,0.83535,0.74305,0.81501,0.39851,1.65063,0.94007,1.08218,0.00093169,0.00093169,0.00093169
71,2156.89,1.64866,0.97833,1.07984,0.82439,0.72699,0.79365,0.40515,1.60878,0.93214,1.07744,0.0009307,0.0009307,0.0009307
72,2187.05,1.63425,0.97571,1.06307,0.83681,0.73638,0.81392,0.40434,1.6675,0.92707,1.08027,0.00092971,0.00092971,0.00092971
73,2217.2,1.63565,0.97934,1.0651,0.84667,0.76126,0.83017,0.41585,1.64393,0.88737,1.07991,0.00092872,0.00092872,0.00092872
74,2247.38,1.62345,0.95157,1.06153,0.85456,0.74134,0.82317,0.42176,1.58658,0.89974,1.05961,0.00092773,0.00092773,0.00092773
75,2277.52,1.64838,0.96505,1.0718,0.85131,0.75375,0.82547,0.4183,1.62454,0.89258,1.0703,0.00092674,0.00092674,0.00092674
76,2309.4,1.66802,1.00189,1.07978,0.8483,0.7568,0.82621,0.41918,1.59274,0.90527,1.06537,0.00092575,0.00092575,0.00092575
77,2341.99,1.64755,0.9831,1.08041,0.85398,0.76179,0.83236,0.43345,1.55858,0.87138,1.05506,0.00092476,0.00092476,0.00092476
78,2372.7,1.60965,0.94954,1.05825,0.85277,0.76718,0.83354,0.43605,1.55575,0.87143,1.05777,0.00092377,0.00092377,0.00092377
79,2403.05,1.62081,0.9616,1.06658,0.86218,0.75057,0.83428,0.44002,1.54464,0.86996,1.05305,0.00092278,0.00092278,0.00092278
80,2433.41,1.60293,0.94702,1.05608,0.85651,0.76823,0.83731,0.43524,1.55423,0.87325,1.05376,0.00092179,0.00092179,0.00092179
81,2463.58,1.6057,0.94273,1.05193,0.86029,0.7622,0.84304,0.4513,1.50407,0.8552,1.04321,0.0009208,0.0009208,0.0009208
82,2493.91,1.5917,0.93048,1.05946,0.85996,0.75829,0.83683,0.43926,1.55209,0.85094,1.05397,0.00091981,0.00091981,0.00091981
83,2524.12,1.61318,0.92348,1.0723,0.86568,0.77388,0.83975,0.44594,1.54952,0.83096,1.0565,0.00091882,0.00091882,0.00091882
84,2554.28,1.61216,0.94096,1.06515,0.86577,0.7717,0.84792,0.46447,1.47246,0.81332,1.037,0.00091783,0.00091783,0.00091783
85,2584.63,1.59232,0.93123,1.05668,0.87136,0.76808,0.84425,0.46464,1.46715,0.8236,1.03469,0.00091684,0.00091684,0.00091684
86,2614.84,1.58334,0.90846,1.04647,0.85282,0.77822,0.84426,0.44056,1.56236,0.83335,1.05176,0.00091585,0.00091585,0.00091585
87,2644.98,1.60353,0.93405,1.06343,0.86011,0.77838,0.84711,0.45405,1.52775,0.82607,1.04735,0.00091486,0.00091486,0.00091486
88,2675.13,1.59181,0.92992,1.05111,0.85876,0.74694,0.832,0.41625,1.64036,0.89958,1.06635,0.00091387,0.00091387,0.00091387
89,2705.31,1.58066,0.92154,1.0537,0.87649,0.76326,0.84878,0.43871,1.57701,0.85402,1.05398,0.00091288,0.00091288,0.00091288
90,2735.48,1.57752,0.93195,1.05217,0.87835,0.77373,0.85709,0.46162,1.49942,0.81942,1.03621,0.00091189,0.00091189,0.00091189
91,2765.66,1.56071,0.88997,1.04514,0.86865,0.7845,0.85892,0.44255,1.5811,0.8269,1.04991,0.0009109,0.0009109,0.0009109
92,2795.79,1.55294,0.89404,1.0465,0.86146,0.78178,0.85417,0.44258,1.58026,0.8314,1.05288,0.00090991,0.00090991,0.00090991
93,2826,1.57507,0.92547,1.05907,0.8363,0.75323,0.8179,0.44474,1.49279,0.83796,1.03731,0.00090892,0.00090892,0.00090892
94,2856.14,1.56762,0.90286,1.04826,0.88037,0.77677,0.86055,0.46426,1.51442,0.8051,1.03441,0.00090793,0.00090793,0.00090793
95,2886.46,1.55732,0.89349,1.04332,0.87168,0.76634,0.84754,0.46094,1.50269,0.81285,1.04189,0.00090694,0.00090694,0.00090694
96,2916.58,1.58763,0.91066,1.05353,0.87003,0.7762,0.85681,0.45631,1.52806,0.83131,1.04412,0.00090595,0.00090595,0.00090595
97,2946.73,1.57088,0.91059,1.04863,0.85444,0.77794,0.84239,0.41761,1.65487,0.8729,1.07518,0.00090496,0.00090496,0.00090496
98,2976.93,1.54038,0.88254,1.03666,0.86934,0.79326,0.85847,0.48032,1.46069,0.77533,1.02455,0.00090397,0.00090397,0.00090397
99,3007.26,1.55701,0.88658,1.04617,0.87225,0.78719,0.86006,0.42734,1.62025,0.83623,1.05985,0.00090298,0.00090298,0.00090298
100,3037.37,1.55739,0.89031,1.04071,0.88801,0.78854,0.86907,0.47411,1.50501,0.78856,1.03554,0.00090199,0.00090199,0.00090199
101,3067.49,1.54628,0.88481,1.03747,0.86983,0.78415,0.86063,0.47103,1.46396,0.7893,1.02575,0.000901,0.000901,0.000901
102,3097.63,1.5485,0.87856,1.04338,0.88784,0.80157,0.87859,0.47803,1.49388,0.77571,1.02711,0.00090001,0.00090001,0.00090001
103,3127.74,1.52081,0.86531,1.03351,0.88273,0.78938,0.86866,0.45823,1.56102,0.80324,1.04198,0.00089902,0.00089902,0.00089902
104,3157.85,1.55229,0.88606,1.04443,0.88363,0.79396,0.86747,0.48958,1.43925,0.7586,1.02152,0.00089803,0.00089803,0.00089803
105,3188.14,1.52411,0.85055,1.0337,0.87321,0.80881,0.87323,0.47237,1.50205,0.76639,1.03014,0.00089704,0.00089704,0.00089704
106,3218.31,1.5362,0.86429,1.03942,0.88846,0.80675,0.87722,0.48919,1.45587,0.75493,1.0208,0.00089605,0.00089605,0.00089605
107,3248.65,1.5375,0.86848,1.04676,0.88336,0.80436,0.87644,0.48294,1.4626,0.7718,1.02546,0.00089506,0.00089506,0.00089506
108,3278.75,1.53564,0.87117,1.04984,0.86648,0.8064,0.87142,0.45527,1.55723,0.78134,1.04859,0.00089407,0.00089407,0.00089407
109,3308.87,1.52941,0.86722,1.04006,0.88451,0.79865,0.8745,0.45944,1.55125,0.78196,1.04246,0.00089308,0.00089308,0.00089308
110,3338.98,1.52359,0.86184,1.04075,0.88489,0.80191,0.8771,0.49408,1.443,0.74522,1.02327,0.00089209,0.00089209,0.00089209
111,3369.28,1.51287,0.8585,1.03002,0.88558,0.80594,0.87629,0.46767,1.52319,0.7725,1.0311,0.0008911,0.0008911,0.0008911
112,3399.42,1.49707,0.84886,1.033,0.88511,0.80265,0.87644,0.50308,1.39865,0.73759,1.00834,0.00089011,0.00089011,0.00089011
113,3429.7,1.50361,0.83983,1.02934,0.8816,0.81904,0.88331,0.50807,1.41056,0.72062,1.01532,0.00088912,0.00088912,0.00088912
114,3460,1.53664,0.85767,1.0499,0.88948,0.80468,0.8829,0.48655,1.45231,0.75322,1.01656,0.00088813,0.00088813,0.00088813
115,3490.13,1.51714,0.8498,1.03022,0.88965,0.8164,0.88332,0.51333,1.37506,0.71695,1.00436,0.00088714,0.00088714,0.00088714
116,3520.39,1.48574,0.81855,1.02716,0.89365,0.82073,0.89019,0.50006,1.45036,0.71768,1.01696,0.00088615,0.00088615,0.00088615
117,3550.52,1.48937,0.83346,1.03049,0.88927,0.82237,0.88526,0.50522,1.40974,0.71409,1.00664,0.00088516,0.00088516,0.00088516
118,3580.66,1.49596,0.83101,1.02895,0.89041,0.82516,0.89399,0.51087,1.40852,0.71288,1.00365,0.00088417,0.00088417,0.00088417
119,3610.79,1.48075,0.81766,1.02246,0.88687,0.82208,0.886,0.51657,1.38297,0.70176,1.00315,0.00088318,0.00088318,0.00088318
120,3641.1,1.4931,0.84372,1.03118,0.89571,0.8148,0.88674,0.50811,1.41051,0.72598,1.0056,0.00088219,0.00088219,0.00088219
121,3671.23,1.49757,0.83329,1.02792,0.89691,0.81412,0.88822,0.51008,1.39348,0.72313,1.00343,0.0008812,0.0008812,0.0008812
122,3701.38,1.49458,0.82484,1.0229,0.89066,0.82021,0.88918,0.5071,1.41408,0.7162,1.00878,0.00088021,0.00088021,0.00088021
123,3731.51,1.46422,0.81009,1.01856,0.88593,0.81729,0.88353,0.47913,1.49339,0.73947,1.02347,0.00087922,0.00087922,0.00087922
124,3761.63,1.49205,0.82552,1.02506,0.89482,0.81507,0.88805,0.48654,1.48394,0.73925,1.01629,0.00087823,0.00087823,0.00087823
